scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
supply_quota,mid,endogenous,11,776647,0.9,50.3108
supply_quota,mid,endogenous,12,935519,0.8333,45.9605
supply_quota,mid,endogenous,13,571859,0.8333,39.5191
supply_quota,mid,endogenous,14,91162,0.5333,26.271
supply_quota,mid,endogenous,15,619177,0.6667,33.2517
supply_quota,mid,endogenous,16,442418,0.9667,35.2342
supply_quota,mid,endogenous,17,33327,0.9,54.6178
supply_quota,mid,endogenous,18,31245,0.9,44.2201
supply_quota,mid,endogenous,19,98247,0.9333,41.8206
supply_quota,mid,endogenous,20,229259,0.9667,45.5703
supply_quota,mid,endogenous,21,243963,0.7333,54.9872
supply_quota,mid,endogenous,22,529904,0.8,47.922
supply_quota,mid,endogenous,23,631263,0.6667,43.3003
supply_quota,mid,endogenous,24,27825,0.5667,28.7459
supply_quota,mid,endogenous,25,588509,0.7333,44.1316
supply_quota,mid,endogenous,26,208497,0.7,39.4172
supply_quota,mid,endogenous,27,750801,0.8,29.2437
supply_quota,mid,endogenous,28,681454,0.5,38.5097
supply_quota,mid,endogenous,29,735393,0.3,31.2386
supply_quota,mid,endogenous,30,571413,0.5333,44.1451
supply_quota,mid,endogenous,31,439899,0.7333,51.1437
supply_quota,mid,endogenous,32,231149,0.5,25.8883
supply_quota,mid,endogenous,33,471030,0.7,33.9675
supply_quota,mid,endogenous,34,617890,0.9667,50.9268
supply_quota,mid,endogenous,35,291705,0.4667,38.4765
supply_quota,mid,endogenous,36,848750,0.8667,38.8384
supply_quota,mid,endogenous,37,911528,0.8,38.7536
supply_quota,mid,endogenous,38,6815,0.8,39.45
supply_quota,mid,endogenous,39,795668,0.8333,43.6107
supply_quota,mid,endogenous,40,844963,0.5667,38.9616
supply_quota,mid,endogenous,41,167415,0.9667,50.315
supply_quota,mid,endogenous,42,732053,0.7667,43.929
supply_quota,mid,endogenous,43,443144,0.5667,23.0343
supply_quota,mid,endogenous,44,356779,0.7,24.4324
supply_quota,mid,endogenous,45,291370,0.7667,37.6163
supply_quota,mid,endogenous,46,163033,0.5333,32.0446
supply_quota,mid,endogenous,47,225773,0.7,44.0818
supply_quota,mid,endogenous,48,800582,0.7333,30.6515
supply_quota,mid,endogenous,49,352945,0.7333,56.0896
supply_quota,mid,endogenous,50,107176,0.8,38.0999
supply_quota,mid,endogenous,51,97252,0.9,43.9839
supply_quota,mid,endogenous,52,398383,0.7333,34.9008
supply_quota,mid,endogenous,53,101415,0.9667,40.5204
supply_quota,mid,endogenous,54,376418,0.7,46.4249
supply_quota,mid,endogenous,55,888663,0.5,32.4032
supply_quota,mid,endogenous,56,360664,0.9667,34.6774
supply_quota,mid,endogenous,57,633053,0.8667,32.2273
supply_quota,mid,endogenous,58,277371,0.8667,41.4897
supply_quota,mid,endogenous,59,846336,0.9,45.216
supply_quota,mid,endogenous,60,45562,0.8667,44.8685
supply_quota,mid,endogenous,61,765180,0.4333,29.5022
supply_quota,mid,endogenous,62,481742,0.7667,38.42
supply_quota,mid,endogenous,63,562276,0.8667,37.313
supply_quota,mid,endogenous,64,130890,0.5667,34.6016
supply_quota,mid,endogenous,65,967097,0.6667,43.3838
supply_quota,mid,endogenous,66,396923,0.5333,28.0414
supply_quota,mid,endogenous,67,82628,0.8667,44.6623
supply_quota,mid,endogenous,68,578857,0.8,26.942
supply_quota,mid,endogenous,69,307420,0.6,39.2606
supply_quota,mid,endogenous,70,869694,0.7,36.419
supply_quota,mid,endogenous,71,659177,0.4667,28.7628
supply_quota,mid,endogenous,72,648565,0.5667,35.0889
supply_quota,mid,endogenous,73,928464,0.6,41.0134
supply_quota,mid,endogenous,74,903566,0.9667,54.2116
supply_quota,mid,endogenous,75,379202,0.2333,31.0992
supply_quota,mid,endogenous,76,605398,0.8667,41.1661
supply_quota,mid,endogenous,77,201630,0.9333,31.3591
supply_quota,mid,endogenous,78,738798,0.8,28.5466
supply_quota,mid,endogenous,79,72934,0.7667,49.6004
supply_quota,mid,endogenous,80,48051,0.5333,36.0211
supply_quota,mid,endogenous,81,693385,0.8,31.7049
