scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,exogenous,150,481142,1.0,30.4777,1.0,1.0,1.0
baseline,exogenous,151,149812,1.0,23.6578,1.0,1.0,1.0
baseline,exogenous,152,277747,1.0,21.8186,1.0,1.0,1.0
baseline,exogenous,153,146414,1.0,27.9668,1.0,1.0,1.0
baseline,exogenous,154,258608,1.0,34.4344,1.0,1.0,1.0
baseline,exogenous,155,781178,1.0,19.534,1.0,1.0,1.0
baseline,exogenous,156,588638,1.0,37.8539,1.0,1.0,1.0
baseline,exogenous,157,565159,1.0,29.8949,1.0,1.0,1.0
baseline,exogenous,158,275505,1.0,34.414,1.0,1.0,1.0
baseline,exogenous,159,783301,1.0,32.1986,1.0,1.0,1.0
baseline,exogenous,160,612983,1.0,27.6035,1.0,1.0,1.0
baseline,exogenous,161,449246,1.0,37.379,1.0,1.0,1.0
baseline,exogenous,162,941436,1.0,24.0647,1.0,1.0,1.0
baseline,exogenous,163,611879,1.0,29.3989,1.0,1.0,1.0
baseline,exogenous,164,418802,1.0,33.9016,1.0,1.0,1.0
baseline,exogenous,165,379581,1.0,28.5406,1.0,1.0,1.0
baseline,exogenous,166,229975,1.0,40.4117,1.0,1.0,1.0
baseline,exogenous,167,145052,1.0,22.4474,1.0,1.0,1.0
baseline,exogenous,168,534278,1.0,31.4012,1.0,1.0,1.0
baseline,exogenous,169,517489,1.0,40.0086,1.0,1.0,1.0
baseline,exogenous,170,95326,1.0,31.8575,1.0,1.0,1.0
baseline,exogenous,171,792496,1.0,15.2737,1.0,1.0,1.0
baseline,exogenous,172,49406,1.0,30.0547,1.0,1.0,1.0
baseline,exogenous,173,902932,1.0,22.0647,1.0,1.0,1.0
baseline,exogenous,174,114976,1.0,29.3038,1.0,1.0,1.0
baseline,exogenous,175,160266,1.0,27.2049,1.0,1.0,1.0
baseline,exogenous,176,657925,1.0,37.686,1.0,1.0,1.0
baseline,exogenous,177,167754,1.0,34.8561,1.0,1.0,1.0
baseline,exogenous,178,830556,1.0,33.8225,1.0,1.0,1.0
baseline,exogenous,179,713537,1.0,23.9055,1.0,1.0,1.0
